location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
1077409307,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409314,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409317,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409322,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409332,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409573,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409586,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409587,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409588,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409591,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409607,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409609,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409612,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409613,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409614,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409615,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409616,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409617,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409618,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409619,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409620,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409621,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409622,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409623,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409625,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409626,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409627,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409628,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409629,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409630,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409631,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409632,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409633,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409634,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409635,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409636,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409637,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409639,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409640,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409641,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409652,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409653,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409654,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409655,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409656,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409657,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409658,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409659,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409660,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409661,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409665,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409666,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409667,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409668,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409670,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409671,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409672,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409674,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409675,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409676,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409680,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409681,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409684,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409685,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409687,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409688,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409689,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409690,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409691,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409692,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409693,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409695,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077409697,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409698,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409700,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409709,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409753,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409768,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409769,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077409771,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077410260,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077410645,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077410670,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077410671,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077410673,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077410674,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411483,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411925,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411974,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411977,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411978,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411979,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411981,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411982,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411983,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077411985,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411987,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411990,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411991,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411993,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411996,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077411999,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412000,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412003,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077412004,CM61-BEAD-LA-136-3004,0,50,50,200,1
